# LF_DEM version v3.0-126-gb72fb1a
# np 1000
# VF 0.76
# Lx 73.993
# Ly 0
# Lz 73.993
# flow_type shear
# data in cl units.
#1: time
#2: cumulated strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: contact stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: dashpot stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: repulsion stress tensor (xx, xy, xz, yz, yy, zz)

6.88009 0.200624 0.0144795 -52.0564 0 20 0 0 -59.6962  -52.0745 0 19.8803 0 0 -59.7229  -0.00875475 0 0.0205399 0 0 -0.00617122  0.0268515 0 0.0991405 0 0 0.0328959  0 0 0 0 0 0  
6.97434 0.201941 0.0137758 -52.013 0 20 0 0 -59.78  -52.0261 0 19.8856 0 0 -59.8014  -0.00909404 0 0.0199321 0 0 -0.0061386  0.0221475 0 0.0944493 0 0 0.0275572  0 0 0 0 0 0  
7.06858 0.203181 0.0129851 -52.0972 0 20 0 0 -59.7377  -52.1086 0 19.8915 0 0 -59.7592  -0.00807017 0 0.0190387 0 0 -0.0049902  0.0195343 0 0.0894828 0 0 0.0264253  0 0 0 0 0 0  
7.16283 0.204403 0.0129751 -52.2063 0 20 0 0 -59.7594  -52.2174 0 19.8906 0 0 -59.779  -0.00770972 0 0.0190465 0 0 -0.00465469  0.0188166 0 0.0903291 0 0 0.0242785  0 0 0 0 0 0  
7.25708 0.205653 0.0134061 -52.2881 0 20 0 0 -59.7386  -52.3008 0 19.8892 0 0 -59.7572  -0.00758038 0 0.0194959 0 0 -0.00457168  0.020216 0 0.0912898 0 0 0.0231452  0 0 0 0 0 0  
7.35133 0.206965 0.0146216 -52.246 0 20 0 0 -59.8401  -52.2594 0 19.8769 0 0 -59.8575  -0.00757932 0 0.0221724 0 0 -0.00613705  0.0209374 0 0.100879 0 0 0.0236196  0 0 0 0 0 0  
7.44557 0.208348 0.0152005 -52.1925 0 20 0 0 -59.7864  -52.2058 0 19.8687 0 0 -59.8052  -0.00915038 0 0.024151 0 0 -0.00635892  0.0223742 0 0.107104 0 0 0.0251175  0 0 0 0 0 0  
7.53982 0.209851 0.0158858 -52.2636 0 20 0 0 -59.7477  -52.2772 0 19.8616 0 0 -59.7693  -0.00987768 0 0.0252359 0 0 -0.00578889  0.0234591 0 0.113136 0 0 0.0274183  0 0 0 0 0 0  
7.63407 0.211358 0.0159257 -52.0232 0 20 0 0 -59.6015  -52.0353 0 19.8612 0 0 -59.6208  -0.0102109 0 0.025358 0 0 -0.00713757  0.0223685 0 0.113476 0 0 0.026381  0 0 0 0 0 0  
7.72832 0.212901 0.0165217 -51.9355 0 20 0 0 -59.3872  -51.9488 0 19.8535 0 0 -59.4098  -0.0108354 0 0.0269098 0 0 -0.00682759  0.0241497 0 0.11959 0 0 0.0294723  0 0 0 0 0 0  
7.82257 0.214388 0.0147932 -51.858 0 20 0 0 -58.9749  -51.8723 0 19.8688 0 0 -58.9949  -0.0099645 0 0.0237473 0 0 -0.00735609  0.0242249 0 0.107404 0 0 0.0273263  0 0 0 0 0 0  
